onset	duration	trial_type	value	sample
13.166	0.0	onset	162	13166
237.773	0.0	offset	167	237773
294.345	0.0	onset	162	294345
614.64	0.0	offset	167	614640
682.412	0.0	onset	162	682412
895.819	0.0	offset	167	895819
986.493	0.0	onset	162	986493
1196.59	0.0	offset	167	1196590
1373.561	0.0	onset	162	1373561
1608.968	0.0	offset	167	1608968
1657.883	0.0	onset	162	1657883
1927.877	0.0	offset	167	1927877
1983.779	0.0	onset	162	1983779
2215.475	0.0	offset	167	2215475
2288.613	0.0	onset	162	2288613
2538.714	0.0	offset	167	2538714
2592.227	0.0	onset	162	2592227
2923.622	0.0	offset	167	2923622
2992.58	0.0	onset	162	2992580
3224.594	0.0	offset	167	3224594
3291.714	0.0	onset	162	3291714
3576.619	0.0	offset	167	3576619
