onset	duration	trial_type	value	sample
4.048	0.0	onset	162	4048
228.643	0.0	offset	167	228643
302.978	0.0	onset	162	302978
623.28	0.0	offset	167	623280
658.247	0.0	onset	162	658247
871.644	0.0	offset	167	871644
915.136	0.0	onset	162	915136
1125.24	0.0	offset	167	1125240
1185.716	0.0	onset	162	1185716
1421.113	0.0	offset	167	1421113
1510.677	0.0	onset	162	1510677
1641.303	0.0	onset	162	1641303
1911.304	0.0	offset	167	1911304
1968.453	0.0	onset	162	1968453
2200.156	0.0	offset	167	2200156
2242.344	0.0	onset	162	2242344
2492.452	0.0	offset	167	2492452
2532.517	0.0	onset	162	2532517
2863.919	0.0	offset	167	2863919
2996.663	0.0	onset	162	2996663
3228.666	0.0	offset	167	3228666
3259.369	0.0	onset	162	3259369
3544.265	0.0	offset	167	3544265
