onset	duration	trial_type	value	sample
12.443	0.0	onset	162	12443
237.05	0.0	offset	167	237050
339.861	0.0	onset	162	339861
660.156	0.0	offset	167	660156
709.104	0.0	onset	162	709104
922.512	0.0	offset	167	922512
973.567	0.0	onset	162	973567
1183.681	0.0	offset	167	1183681
1250.968	0.0	onset	162	1250968
1486.375	0.0	offset	167	1486375
1529.74	0.0	onset	162	1529740
1799.751	0.0	offset	167	1799751
1878.739	0.0	onset	162	1878739
2110.452	0.0	offset	167	2110452
2174.061	0.0	onset	162	2174061
2424.162	0.0	offset	167	2424162
2477.457	0.0	onset	162	2477457
2808.869	0.0	offset	167	2808869
2887.858	0.0	onset	162	2887858
3119.871	0.0	offset	167	3119871
3188.345	0.0	onset	162	3188345
3473.251	0.0	offset	167	3473251
